"r","r correction"
0,1
500,1.00111891811978
1000,1.00139592427461
1500,1.00535026494549
2000,1.00808453356365
2500,1.01330563271785
3000,1.01831197429134
3500,1.0228327769867
4000,1.02921636826256
4500,1.03787981356552
5000,1.04546791475058
5500,1.05197133453162
6000,1.03539142681513
6500,0.924106538434604
